Connector,name
I1,
I2,
I3,Water Meter 1
I4,Water Meter 2
I5,
I6,
I7,
I8,
I9,
I10,
I11,
I12,
I13,
I14,
I15,
I16,
I17,
I18,
I19,
I20,
I21,
I22,
I23,
I24,
NI1,
NI2,
NI3,
NI4,
NI5,
NI6,
NI7,
NI8,
NI9,
NI10,
NI11,
NI12,
NI13,
NI14,
NI15,
NI16,
NI17,
NI18,
NI19,
NI20,
NI21,
NI22,
NI23,
NI24,
NI25,
NI26,
NI27,
NI28,
NI29,
NI30,
NI31,
NI32,
NI33,
NI34,
NI35,
NI36,
NI37,
NI38,
NI39,
NI40,
NI41,
NI42,
NI43,
NI44,
NI45,
NI46,
NI47,
NI48,
NI49,
NI50,
NI51,
NI52,
NI53,
NI54,
NI55,
NI56,
NI57,
NI58,
NI59,
NI60,
NI61,
NI62,
NI63,
NI64,
NAI1,
NAI2,
NAI3,
NAI4,
NAI5,
NAI6,
NAI7,
NAI8,
NAI9,
NAI10,
NAI11,
NAI12,
NAI13,
NAI14,
NAI15,
NAI16,
NAI17,
NAI18,
NAI19,
NAI20,
NAI21,
NAI22,
NAI23,
NAI24,
NAI25,
NAI26,
NAI27,
NAI28,
NAI29,
NAI30,
NAI31,
NAI32,
C1,
C2,
C3,
C4,
F1,
F2,
F3,
F4,
S1.1,
S1.2,
S1.3,
S1.4,
S1.5,
S1.6,
S1.7,
S1.8,
S2.1,
S2.2,
S2.3,
S2.4,
S2.5,
S2.6,
S2.7,
S2.8,
S3.1,
S3.2,
S3.3,
S3.4,
S3.5,
S3.6,
S3.7,
S3.8,
S4.1,
S4.2,
S4.3,
S4.4,
S4.5,
S4.6,
S4.7,
S4.8,
AI1,Boiler Temperature
AI2,Outside Temperature
AI3,Water Pressure
AI4,
AI5,
AI6,
AI7,
AI8,
Q1,Vacuum cleaner
Q2,
Q3,Boiler Heating
Q4,Hydrophore
Q5,
Q6,
Q7,
Q8,
Q9,
Q10,
Q11,
Q12,
Q13,
Q14,
Q15,
Q16,
Q17,
Q18,
Q19,
Q20,
AQ1,
AQ2,
AQ3,
AQ4,
AQ5,
AQ6,
AQ7,
AQ8,
X1,
X2,
X3,
X4,
X5,
X6,
X7,
X8,
X9,
X10,
X11,
X12,
X13,
X14,
X15,
X16,
X17,
X18,
X19,
X20,
X21,
X22,
X23,
X24,
X25,
X26,
X27,
X28,
X29,
X30,
X31,
X32,
X33,
X34,
X35,
X36,
X37,
X38,
X39,
X40,
X41,
X42,
X43,
X44,
X45,
X46,
X47,
X48,
X49,
X50,
X51,
X52,
X53,
X54,
X55,
X56,
X57,
X58,
X59,
X60,
X61,
X62,
X63,
X64,
NQ1,
NQ2,
NQ3,
NQ4,
NQ5,
NQ6,
NQ7,
NQ8,
NQ9,
NQ10,
NQ11,
NQ12,
NQ13,
NQ14,
NQ15,
NQ16,
NQ17,
NQ18,
NQ19,
NQ20,
NQ21,
NQ22,
NQ23,
NQ24,
NQ25,
NQ26,
NQ27,
NQ28,
NQ29,
NQ30,
NQ31,
NQ32,
NQ33,
NQ34,
NQ35,
NQ36,
NQ37,
NQ38,
NQ39,
NQ40,
NQ41,
NQ42,
NQ43,
NQ44,
NQ45,
NQ46,
NQ47,
NQ48,
NQ49,
NQ50,
NQ51,
NQ52,
NQ53,
NQ54,
NQ55,
NQ56,
NQ57,
NQ58,
NQ59,
NQ60,
NQ61,
NQ62,
NQ63,
NQ64,
NAQ1,
NAQ2,
NAQ3,
NAQ4,
NAQ5,
NAQ6,
NAQ7,
NAQ8,
NAQ9,
NAQ10,
NAQ11,
NAQ12,
NAQ13,
NAQ14,
NAQ15,
NAQ16,
